codigo;nome;cod_barra;grupo;sub_grupo;categoria;laboratorio;preco_custo;margem;preco_venda;estoque;demanda;desc_fixo;desc_max;com_fixo;fator;ativo;atualiza_estoque;suspender_compra;similar;permite_desconto;aliquota_icms;st;isento;lista_controle;grupo_de_preco;localizacao;uso_continuo;observacao;med_fp;qtd_fp;reg_ms;valor_pmc;ncm;sem_incidencia;lista_pis_cofins;cest;cst_icms;cst_pis_cofins
10001;Dipirona Sodica 500mg 10cp;7891234567890;MEDICAMENTO;ANALGESICO;GENERICO;NEO QUIMICA;4,50;97,78;8,90;25;12,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A1-P02;0;Generico intercambiavel;1;30,000;1.0043.0123.001;9,50;30049099;0;NEUTRA;1300100;000;01
10002;Paracetamol 750mg 20cp;7891234567891;MEDICAMENTO;ANALGESICO;GENERICO;PRATI DONADUZZI;6,20;101,61;12,50;13;8,000;0,00;12,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A1-P03;0;;1;60,000;1.0525.0044.002;13,20;30049099;0;NEUTRA;1300100;000;01
10003;Amoxicilina 500mg 21cap;7891234567892;MEDICAMENTO;ANTIBIOTICO;GENERICO;EMS;12,80;94,53;24,90;8;5,000;0,00;5,00;2,50;1,000;1;1;0;1;1;18,00;0;0;C1;GENERICO;B2-P01;0;Retencao de receita;0;0,000;1.0235.0876.003;26,40;30041019;0;NEUTRA;1300200;000;01
10004;Ibuprofeno 600mg 20cp;7891234567893;MEDICAMENTO;ANTIINFLAMATORIO;GENERICO;GERMED;7,60;101,32;15,30;42;18,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A2-P04;0;;0;0,000;1.0118.0455.004;16,10;30049039;0;NEUTRA;1300100;000;01
10005;Omeprazol 20mg 28cap;7891234567894;MEDICAMENTO;GASTRICO;GENERICO;MEDLEY;9,40;99,47;18,75;67;24,000;0,00;15,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A2-P05;1;Uso continuo;0;0,000;1.0181.0333.005;19,80;30049099;0;POSITIVA;1300100;000;04
10006;Losartana Potassica 50mg 30cp;7891234567895;MEDICAMENTO;ANTI-HIPERTENSIVO;GENERICO;SANDOZ;11,20;100,00;22,40;35;20,000;0,00;15,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A3-P01;1;Uso continuo;1;60,000;1.0047.0912.006;23,70;30049099;0;POSITIVA;1300100;000;04
10007;Metformina 850mg 30cp;7891234567896;MEDICAMENTO;ANTIDIABETICO;GENERICO;MERCK;4,90;100,00;9,80;58;30,000;0,00;15,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A3-P02;1;Uso continuo;1;60,000;1.0089.0271.007;10,40;30049099;0;POSITIVA;1300100;000;04
10008;Sinvastatina 20mg 30cp;7891234567897;MEDICAMENTO;CARDIOVASCULAR;GENERICO;EUROFARMA;14,25;100,00;28,50;22;11,000;0,00;12,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A3-P03;1;Uso continuo;0;0,000;1.0043.0555.008;30,10;30049099;0;POSITIVA;1300100;000;04
10009;Captopril 25mg 30cp;7891234567898;MEDICAMENTO;ANTI-HIPERTENSIVO;GENERICO;HIPOLABOR;3,80;100,00;7,60;44;16,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A3-P04;1;;1;60,000;1.0206.0148.009;8,10;30049099;0;POSITIVA;1300100;000;04
10010;Atenolol 50mg 30cp;7891234567899;MEDICAMENTO;CARDIOVASCULAR;GENERICO;BIOSINTETICA;5,60;100,00;11,20;31;14,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A3-P05;1;;1;60,000;1.0298.0067.010;11,90;30049099;0;POSITIVA;1300100;000;04
10011;Hidroclorotiazida 25mg 30cp;7891234567900;MEDICAMENTO;DIURETICO;GENERICO;TEUTO;3,45;100,00;6,90;52;19,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;A4-P01;1;;1;60,000;1.0370.0234.011;7,30;30049099;0;POSITIVA;1300100;000;04
10012;Fluoxetina 20mg 30cap;7891234567901;MEDICAMENTO;PSICOTROPICO;GENERICO;RANBAXY;9,95;100,00;19,90;18;7,000;0,00;5,00;2,00;1,000;1;1;0;1;1;18,00;0;0;C1;CONTROLADO;C1-P01;1;Retencao de receita;0;0,000;1.0553.0189.012;21,00;30049099;0;NEUTRA;1300100;000;01
10013;Sertralina 50mg 30cp;7891234567902;MEDICAMENTO;PSICOTROPICO;GENERICO;TORRENT;16,20;100,00;32,40;14;6,000;0,00;5,00;2,00;1,000;1;1;0;1;1;18,00;0;0;C1;CONTROLADO;C1-P02;1;Retencao de receita;0;0,000;1.0525.0301.013;34,20;30049099;0;NEUTRA;1300100;000;01
10014;Dorflex 36cp;7891234567903;MEDICAMENTO;ANALGESICO;REFERENCIA;SANOFI;7,40;100,00;14,80;76;35,000;0,00;8,00;3,00;1,000;1;1;0;0;1;18,00;0;0;;PADRAO;A1-P06;0;;0;0,000;1.1300.0021.014;15,60;30049099;0;NEUTRA;1300100;000;01
10015;Buscopan Composto 20cp;7891234567904;MEDICAMENTO;ANTIESPASMODICO;REFERENCIA;BOEHRINGER;8,25;100,00;16,50;29;13,000;0,00;8,00;3,00;1,000;1;1;0;0;1;18,00;0;0;;PADRAO;A1-P07;0;;0;0,000;1.0367.0112.015;17,40;30049099;0;NEUTRA;1300100;000;01
10016;Neosaldina 20drg;7891234567905;MEDICAMENTO;ANALGESICO;REFERENCIA;TAKEDA;10,95;100,00;21,90;41;17,000;0,00;8,00;3,00;1,000;1;1;0;0;1;18,00;0;0;;PADRAO;A1-P08;0;;0;0,000;1.0639.0258.016;23,10;30049099;0;NEUTRA;1300100;000;01
10017;Rivotril 2mg 30cp;7891234567906;MEDICAMENTO;PSICOTROPICO;REFERENCIA;ROCHE;22,50;100,00;45,00;9;4,000;0,00;0,00;0,00;1,000;1;1;0;0;0;18,00;0;0;B1;CONTROLADO;C2-P01;1;Notificacao B - receita azul;0;0,000;1.0100.0088.017;47,50;30049099;0;NEUTRA;1300100;000;01
10018;Ritalina 10mg 30cp;7891234567907;MEDICAMENTO;PSICOTROPICO;REFERENCIA;NOVARTIS;19,35;100,00;38,70;6;3,000;0,00;0,00;0,00;1,000;1;1;0;0;0;18,00;0;0;A3;CONTROLADO;C2-P02;1;Notificacao A - receita amarela;0;0,000;1.0068.0201.018;40,80;30049099;0;NEUTRA;1300100;000;01
10019;Insulina NPH 100UI 10ml;7891234567908;MEDICAMENTO;ANTIDIABETICO;REFERENCIA;NOVO NORDISK;44,95;100,00;89,90;12;5,000;0,00;5,00;2,00;1,000;1;1;0;0;1;0,00;0;1;;ESPECIAL;GELADEIRA-01;1;Conservar refrigerado;1;30,000;1.2136.0015.019;94,80;30043100;1;POSITIVA;1300300;041;06
10020;Alcool em Gel 70% 500ml;7891234567909;PERFUMARIA;HIGIENE;CORRELATO;START;6,00;100,00;12,00;120;45,000;0,00;20,00;5,00;1,000;1;1;0;0;1;18,00;1;0;;PERFUMARIA;P1-P01;0;;0;0,000;;0,00;38089419;0;MONOFASICA;2000100;060;04
